entity_id,entity_type,home_location,usual_hour,base_ip,normal_resources,auth_methods,device_fingerprint,normal_commands
user_001,user,"Hyderabad, IN",11,10.36.188.27,employee_portal | analytics_dashboard | crm,password | token,Windows-11|Edge|managed,login | open_dashboard | read_resource | logout
user_002,user,"Bengaluru, IN",8,10.24.55.60,analytics_dashboard | employee_portal | crm,password | token,Windows-11|Edge|managed,login | open_dashboard | read_resource | logout
user_003,user,"Singapore, SG",11,10.115.150.72,analytics_dashboard | employee_portal | crm,password | token,Windows-11|Chrome|managed,login | open_dashboard | read_resource | logout
user_004,user,"New York, US",12,10.40.55.246,employee_portal | email | crm,password | token,Windows-11|Edge|managed,login | open_dashboard | read_resource | logout
user_005,user,"Mumbai, IN",13,10.217.88.155,crm | employee_portal | project_share,password | token,Windows-11|Edge|managed,login | open_dashboard | read_resource | logout
user_006,user,"Mumbai, IN",14,10.21.141.76,crm | employee_portal | analytics_dashboard,password | token,Windows-11|Edge|managed,login | open_dashboard | read_resource | logout
user_007,user,"Mumbai, IN",8,10.170.58.198,analytics_dashboard | crm | project_share,password | token,Windows-11|Chrome|managed,login | open_dashboard | read_resource | logout
user_008,user,"Singapore, SG",12,10.117.162.214,crm | employee_portal | project_share,password | token,Windows-11|Chrome|managed,login | open_dashboard | read_resource | logout
user_009,user,"Hyderabad, IN",18,10.69.179.240,crm | email | project_share,password | token,Windows-11|Edge|managed,login | open_dashboard | read_resource | logout
user_010,user,"Hyderabad, IN",10,10.119.97.70,employee_portal | email | crm,password | token,macOS-15|Chrome|managed,login | open_dashboard | read_resource | logout
user_011,user,"Bengaluru, IN",11,10.211.8.207,analytics_dashboard | email | crm,password | token,Windows-11|Edge|managed,login | open_dashboard | read_resource | logout
user_012,user,"Hyderabad, IN",17,10.225.183.81,crm | project_share | email,password | token,Windows-11|Chrome|managed,login | open_dashboard | read_resource | logout
user_013,user,"Tokyo, JP",10,10.68.35.64,email | project_share | analytics_dashboard,password | token,macOS-15|Chrome|managed,login | open_dashboard | read_resource | logout
user_014,user,"Singapore, SG",17,10.103.92.57,analytics_dashboard | crm | project_share,password | token,macOS-15|Chrome|managed,login | open_dashboard | read_resource | logout
user_015,user,"Mumbai, IN",10,10.161.40.203,email | project_share | employee_portal,password | token,Windows-11|Chrome|managed,login | open_dashboard | read_resource | logout
user_016,user,"Tokyo, JP",16,10.65.248.142,project_share | employee_portal | email,password | token,Windows-11|Edge|managed,login | open_dashboard | read_resource | logout
user_017,user,"London, UK",18,10.88.28.76,employee_portal | analytics_dashboard | crm,password | token,macOS-15|Chrome|managed,login | open_dashboard | read_resource | logout
user_018,user,"London, UK",16,10.196.45.130,project_share | email | analytics_dashboard,password | token,Windows-11|Chrome|managed,login | open_dashboard | read_resource | logout
user_019,user,"Hyderabad, IN",10,10.96.195.42,employee_portal | crm | project_share,password | token,macOS-15|Chrome|managed,login | open_dashboard | read_resource | logout
user_020,user,"Tokyo, JP",8,10.29.237.93,analytics_dashboard | employee_portal | crm,password | token,Windows-11|Edge|managed,login | open_dashboard | read_resource | logout
user_021,user,"Mumbai, IN",9,10.188.124.209,crm | email | employee_portal,password | token,Windows-11|Chrome|managed,login | open_dashboard | read_resource | logout
user_022,user,"Tokyo, JP",16,10.43.67.136,employee_portal | email | analytics_dashboard,password | token,macOS-15|Chrome|managed,login | open_dashboard | read_resource | logout
user_023,user,"Hyderabad, IN",12,10.103.171.167,analytics_dashboard | project_share | employee_portal,password | token,macOS-15|Chrome|managed,login | open_dashboard | read_resource | logout
user_024,user,"Mumbai, IN",11,10.58.16.87,crm | project_share | analytics_dashboard,password | token,Windows-11|Edge|managed,login | open_dashboard | read_resource | logout
user_025,user,"Bengaluru, IN",9,10.182.161.16,employee_portal | email | crm,password | token,Windows-11|Chrome|managed,login | open_dashboard | read_resource | logout
user_026,user,"Mumbai, IN",16,10.61.71.172,email | employee_portal | project_share,password | token,Windows-11|Edge|managed,login | open_dashboard | read_resource | logout
user_027,user,"Tokyo, JP",11,10.201.121.207,project_share | email | crm,password | token,Windows-11|Chrome|managed,login | open_dashboard | read_resource | logout
user_028,user,"Singapore, SG",13,10.109.105.120,project_share | email | employee_portal,password | token,Windows-11|Chrome|managed,login | open_dashboard | read_resource | logout
user_029,user,"New York, US",9,10.64.49.49,employee_portal | analytics_dashboard | project_share,password | token,Windows-11|Edge|managed,login | open_dashboard | read_resource | logout
user_030,user,"Delhi, IN",12,10.119.63.224,analytics_dashboard | project_share | employee_portal,password | token,Windows-11|Edge|managed,login | open_dashboard | read_resource | logout
user_031,user,"Bengaluru, IN",18,10.139.214.4,employee_portal | project_share | crm,password | token,Windows-11|Chrome|managed,login | open_dashboard | read_resource | logout
user_032,user,"Tokyo, JP",15,10.55.221.103,employee_portal | email | analytics_dashboard,password | token,Windows-11|Edge|managed,login | open_dashboard | read_resource | logout
user_033,user,"Singapore, SG",12,10.238.200.201,employee_portal | email | project_share,password | token,Windows-11|Chrome|managed,login | open_dashboard | read_resource | logout
user_034,user,"Tokyo, JP",10,10.49.75.56,project_share | crm | email,password | token,macOS-15|Chrome|managed,login | open_dashboard | read_resource | logout
user_035,user,"Bengaluru, IN",8,10.150.122.129,employee_portal | analytics_dashboard | crm,password | token,Windows-11|Edge|managed,login | open_dashboard | read_resource | logout
user_036,user,"Mumbai, IN",10,10.18.152.18,analytics_dashboard | email | employee_portal,password | token,macOS-15|Chrome|managed,login | open_dashboard | read_resource | logout
user_037,user,"Hyderabad, IN",17,10.153.10.159,email | project_share | employee_portal,password | token,macOS-15|Chrome|managed,login | open_dashboard | read_resource | logout
user_038,user,"New York, US",12,10.53.171.184,employee_portal | project_share | crm,password | token,macOS-15|Chrome|managed,login | open_dashboard | read_resource | logout
user_039,user,"Delhi, IN",18,10.166.76.118,crm | email | project_share,password | token,Windows-11|Edge|managed,login | open_dashboard | read_resource | logout
user_040,user,"Mumbai, IN",9,10.138.54.130,crm | employee_portal | project_share,password | token,Windows-11|Edge|managed,login | open_dashboard | read_resource | logout
