event_id,entity_id,entity_type,timestamp,source_ip,geo_location,geo_lat,geo_lon,resource_accessed,auth_method,auth_result,session_duration,command_sequence,device_fingerprint,bytes_transferred,protocol,label,is_anomaly,anomaly_type,attack_notes,hour,day_of_week,is_weekend,is_off_hours,failed_auth,baseline_event_count,hour_deviation,bytes_zscore,new_location,new_resource,new_device,new_source_ip,new_command_sequence,baseline_source,concept_drift_adapted,source_ip_attempts_1h,source_ip_unique_entities_1h,entity_events_24h,entity_history_count,cold_start_entity,distance_from_previous_km,travel_speed_kmh,impossible_travel_flag
evt_000001,svc_054,service_account,2026-06-01 07:25:49,10.169.49.103,"Hyderabad, IN",17.385,78.4867,telemetry_queue,token,success,66,token_auth > api_read > api_write > logout,Linux-Server|service-agent,274348,HTTPS,normal,0,none,Expected behavioural baseline,7,0,0,0,0,32,1.0,0.12358117413966244,0,0,0,0,0,entity,0,1,1,1,0,1,0.0,0.0,0
evt_000002,svc_047,service_account,2026-06-01 07:38:29,10.20.241.227,"Bengaluru, IN",12.9716,77.5946,telemetry_queue,certificate,success,70,token_auth > api_read > api_write > logout,Linux-Server|service-agent,298155,HTTPS,normal,0,none,Expected behavioural baseline,7,0,0,0,0,29,2.0,0.3702360552967891,0,0,0,0,0,entity,0,1,1,1,0,1,0.0,0.0,0
evt_000003,user_020,user,2026-06-01 07:40:52,10.29.237.93,"Tokyo, JP",35.6762,139.65,employee_portal,password,success,167,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,193851,HTTPS,normal,0,none,Expected behavioural baseline,7,0,0,0,0,34,1.0,0.5348588729665102,0,0,0,0,0,entity,0,1,1,1,0,1,0.0,0.0,0
evt_000004,svc_054,service_account,2026-06-01 07:44:12,10.169.49.103,"Hyderabad, IN",17.385,78.4867,database_read,certificate,success,150,token_auth > api_read > api_write > logout,Linux-Server|service-agent,250099,HTTPS,normal,0,none,Expected behavioural baseline,7,0,0,0,0,32,1.0,0.03714825768809773,0,0,0,0,0,entity,0,2,1,2,1,1,0.0,0.0,0
evt_000005,user_029,user,2026-06-01 08:00:14,10.64.49.49,"New York, US",40.7128,-74.006,analytics_dashboard,token,success,43,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,140713,HTTPS,normal,0,none,Expected behavioural baseline,8,0,0,0,0,25,1.0,1.1506860004795345,0,0,0,0,0,entity,0,1,1,1,0,1,0.0,0.0,0
evt_000006,user_036,user,2026-06-01 08:04:37,10.18.152.18,"Mumbai, IN",19.076,72.8777,email,token,success,82,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,342772,HTTPS,normal,0,none,Expected behavioural baseline,8,0,0,0,0,30,2.0,0.4727757786811319,0,0,0,0,0,entity,0,1,1,1,0,1,0.0,0.0,0
evt_000007,user_020,user,2026-06-01 08:10:59,10.29.237.93,"Tokyo, JP",35.6762,139.65,employee_portal,token,failure,0,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,406766,HTTPS,normal,0,none,Expected behavioural baseline,8,0,0,0,1,34,0.0,0.9280790525716182,0,0,0,0,0,entity,0,2,1,2,1,1,0.0,0.0,0
evt_000008,svc_054,service_account,2026-06-01 08:11:10,10.169.49.103,"Hyderabad, IN",17.385,78.4867,telemetry_queue,certificate,success,115,token_auth > api_read > api_write > logout,Linux-Server|service-agent,261308,HTTPS,normal,0,none,Expected behavioural baseline,8,0,0,0,0,32,0.0,0.03714825768809773,0,0,0,0,0,entity,0,3,1,3,2,1,0.0,0.0,0
evt_000009,user_013,user,2026-06-01 08:30:57,10.68.35.64,"Tokyo, JP",35.6762,139.65,analytics_dashboard,password,success,32,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,206116,HTTPS,normal,0,none,Expected behavioural baseline,8,0,0,0,0,26,2.0,0.16164030092571358,0,0,0,0,0,entity,0,1,1,1,0,1,0.0,0.0,0
evt_000010,svc_054,service_account,2026-06-01 08:40:35,10.169.49.103,"Hyderabad, IN",17.385,78.4867,telemetry_queue,certificate,success,94,token_auth > api_read > api_write > logout,Linux-Server|service-agent,334908,HTTPS,normal,0,none,Expected behavioural baseline,8,0,0,0,0,32,0.0,0.5249904855128801,0,0,0,0,0,entity,0,3,1,4,3,1,0.0,0.0,0
