event_id,entity_id,entity_type,timestamp,source_ip,geo_location,geo_lat,geo_lon,resource_accessed,auth_method,auth_result,session_duration,command_sequence,device_fingerprint,bytes_transferred,protocol,label,is_anomaly,anomaly_type,attack_notes
evt_000001,svc_054,service_account,2026-06-01 07:25:49,10.169.49.103,"Hyderabad, IN",17.385,78.4867,telemetry_queue,token,success,66,token_auth > api_read > api_write > logout,Linux-Server|service-agent,274348,HTTPS,normal,0,none,Expected behavioural baseline
evt_000002,svc_047,service_account,2026-06-01 07:38:29,10.20.241.227,"Bengaluru, IN",12.9716,77.5946,telemetry_queue,certificate,success,70,token_auth > api_read > api_write > logout,Linux-Server|service-agent,298155,HTTPS,normal,0,none,Expected behavioural baseline
evt_000003,user_020,user,2026-06-01 07:40:52,10.29.237.93,"Tokyo, JP",35.6762,139.65,employee_portal,password,success,167,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,193851,HTTPS,normal,0,none,Expected behavioural baseline
evt_000004,svc_054,service_account,2026-06-01 07:44:12,10.169.49.103,"Hyderabad, IN",17.385,78.4867,database_read,certificate,success,150,token_auth > api_read > api_write > logout,Linux-Server|service-agent,250099,HTTPS,normal,0,none,Expected behavioural baseline
evt_000005,user_029,user,2026-06-01 08:00:14,10.64.49.49,"New York, US",40.7128,-74.006,analytics_dashboard,token,success,43,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,140713,HTTPS,normal,0,none,Expected behavioural baseline
evt_000006,user_036,user,2026-06-01 08:04:37,10.18.152.18,"Mumbai, IN",19.076,72.8777,email,token,success,82,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,342772,HTTPS,normal,0,none,Expected behavioural baseline
evt_000007,user_020,user,2026-06-01 08:10:59,10.29.237.93,"Tokyo, JP",35.6762,139.65,employee_portal,token,failure,0,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,406766,HTTPS,normal,0,none,Expected behavioural baseline
evt_000008,svc_054,service_account,2026-06-01 08:11:10,10.169.49.103,"Hyderabad, IN",17.385,78.4867,telemetry_queue,certificate,success,115,token_auth > api_read > api_write > logout,Linux-Server|service-agent,261308,HTTPS,normal,0,none,Expected behavioural baseline
evt_000009,user_013,user,2026-06-01 08:30:57,10.68.35.64,"Tokyo, JP",35.6762,139.65,analytics_dashboard,password,success,32,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,206116,HTTPS,normal,0,none,Expected behavioural baseline
evt_000010,svc_054,service_account,2026-06-01 08:40:35,10.169.49.103,"Hyderabad, IN",17.385,78.4867,telemetry_queue,certificate,success,94,token_auth > api_read > api_write > logout,Linux-Server|service-agent,334908,HTTPS,normal,0,none,Expected behavioural baseline
evt_000011,user_020,user,2026-06-01 08:42:37,10.29.237.93,"Tokyo, JP",35.6762,139.65,analytics_dashboard,password,success,59,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,278853,HTTPS,normal,0,none,Expected behavioural baseline
evt_000012,user_036,user,2026-06-01 09:09:01,10.18.152.18,"Mumbai, IN",19.076,72.8777,email,token,failure,0,login > open_dashboard > read_resource > logout,macOS-15|Chrome|managed,302769,HTTPS,normal,0,none,Expected behavioural baseline
evt_000013,user_035,user,2026-06-01 09:16:26,10.150.122.129,"Bengaluru, IN",12.9716,77.5946,employee_portal,token,success,90,login > open_dashboard > read_resource > logout,Windows-11|Edge|managed,82682,HTTPS,normal,0,none,Expected behavioural baseline
